epoch,auc,binary_accuracy,f1_score,loss,precision,recall,val_auc,val_binary_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.929746150970459,0.8522550463676453,0.9003844857215881,0.3555998206138611,0.9662415385246277,0.8429319262504578,0.9832053184509277,0.9284603595733643,0.9556839466094971,0.15368936955928802,0.9376181364059448,0.974459707736969
1,0.9685513377189636,0.9056506156921387,0.9373708963394165,0.1998594105243683,0.9883889555931091,0.8913612365722656,0.9864527583122253,0.914463460445404,0.9430051445960999,0.16666534543037415,0.9978070259094238,0.8939096331596375
2,0.9798319339752197,0.9201658964157104,0.9474402666091919,0.15761172771453857,0.9900142550468445,0.9083769917488098,0.9856610894203186,0.9517884850502014,0.969031035900116,0.11833513528108597,0.9857723712921143,0.9528487324714661
3,0.9858102202415466,0.9357179999351501,0.9579375982284546,0.1290389895439148,0.9943661689758301,0.9240837693214417,0.9881535172462463,0.9486780762672424,0.9668341279029846,0.11952745914459229,0.9897119402885437,0.9449901580810547
4,0.9904451370239258,0.9486780762672424,0.9666554927825928,0.10866579413414001,0.9958361983299255,0.9391361474990845,0.9888792634010315,0.9533436894416809,0.9699398875236511,0.1438092291355133,0.9897750616073608,0.9508841037750244
5,0.9892350435256958,0.9471228718757629,0.9656796455383301,0.11102636903524399,0.9937673211097717,0.9391361474990845,0.9878383278846741,0.9548988938331604,0.9715964794158936,0.11421531438827515,0.96875,0.974459707736969
6,0.9866278171539307,0.9383100271224976,0.9597564935684204,0.12796220183372498,0.9930021166801453,0.9286649227142334,0.9867166876792908,0.923794686794281,0.9494324326515198,0.20890502631664276,1.0,0.9037328362464905
7,0.9929144978523254,0.9528253078460693,0.9694733023643494,0.09370448440313339,0.9944941401481628,0.9456806182861328,0.989128589630127,0.9580093026161194,0.9730807542800903,0.12039694935083389,0.9878542423248291,0.958742618560791
8,0.9953298568725586,0.9559357166290283,0.9715813994407654,0.0832299292087555,0.9931647181510925,0.9509162306785583,0.9893410801887512,0.9595645666122437,0.9743589162826538,0.10909637063741684,0.9782178401947021,0.9705304503440857
9,0.9939084053039551,0.9600829482078552,0.9743075966835022,0.08845926821231842,0.9938733577728271,0.9554973840713501,0.9904699921607971,0.9564540982246399,0.9722221493721008,0.11706793308258057,0.9819639325141907,0.9626718759536743
10,0.9950108528137207,0.9657853841781616,0.9780439138412476,0.07333242893218994,0.9945873022079468,0.9620419144630432,0.9892972111701965,0.9533436894416809,0.9696969389915466,0.2315128743648529,0.9979209899902344,0.943025529384613
11,0.9926280379295349,0.952306866645813,0.9691275358200073,0.10138940066099167,0.994490385055542,0.945026159286499,0.986100971698761,0.9315707683563232,0.9551935195922852,0.23665964603424072,0.9915433526039124,0.9214145541191101
12,0.9923155903816223,0.9554173350334167,0.9712182283401489,0.11487163603305817,0.9938356280326843,0.9496073126792908,0.9870831966400146,0.9362363815307617,0.9582909345626831,0.20281966030597687,0.9936708807945251,0.9253438115119934
13,0.9961100220680237,0.9694141745567322,0.9803791046142578,0.06926170736551285,0.9966193437576294,0.9646596908569336,0.9891505241394043,0.9673405885696411,0.9791873097419739,0.1437685787677765,0.9879999756813049,0.9705304503440857
